"","no.","dis_order_des"
"17","17","Object7|Animal7|Scene4|Object3|Person5|Person1|Animal2|Animal5|Object1|Object4|Animal9|Animal8|Scenes8|Animal4|Scene7|Object6|Scene3|Person8|Scene6|Person6|Object5|Scene2|Animal6|Person4|Person9|Scene5|Scene1|Animal3|Animal1|Person3|Object9|Scene9|Object2|Object8|Person7|Person2"
"18","18","Scene4|Animal3|Person6|Object7|Scene2|Animal5|Animal4|Animal7|Object3|Object5|Object6|Object9|Scene5|Scene9|Scenes8|Person3|Object8|Animal9|Scene7|Object1|Scene3|Animal1|Person2|Animal8|Object4|Animal2|Person9|Object2|Person8|Scene6|Person5|Person4|Person7|Animal6|Scene1|Person1"
"19","19","Animal8|Object6|Object1|Person4|Person2|Animal9|Scene1|Object2|Person5|Scene4|Animal2|Object8|Animal7|Person9|Scene3|Object7|Scene5|Scene9|Person7|Scene2|Animal6|Object3|Scene7|Scene6|Animal1|Object5|Animal3|Person3|Person8|Scenes8|Animal4|Person1|Object9|Person6|Animal5|Object4"
"20","20","Animal6|Scene3|Object7|Scene9|Person3|Object8|Person4|Scene6|Person5|Person9|Object9|Scene4|Object4|Scene5|Animal4|Scene1|Person6|Animal3|Scene2|Person1|Animal5|Object1|Animal1|Person8|Animal8|Scenes8|Object2|Person7|Object6|Person2|Object5|Animal9|Animal2|Scene7|Animal7|Object3"
"21","21","Object6|Scene6|Animal2|Scene9|Object8|Scenes8|Scene1|Person5|Person4|Object9|Scene2|Animal5|Animal8|Animal7|Animal4|Scene3|Scene4|Object2|Scene5|Person9|Person7|Object1|Object3|Animal1|Animal6|Person6|Object7|Object5|Object4|Person1|Person2|Person8|Scene7|Person3|Animal9|Animal3"
"22","22","Object4|Person9|Scene1|Object1|Animal6|Object7|Animal8|Object5|Scene6|Scene4|Person4|Scene7|Animal3|Person3|Animal2|Animal4|Scene9|Person1|Animal1|Object9|Object2|Scene5|Scenes8|Person2|Person6|Object8|Person5|Scene2|Scene3|Person7|Person8|Animal7|Object6|Animal9|Animal5|Object3"
"23","23","Object4|Scene6|Animal3|Scene4|Animal9|Person4|Animal7|Person3|Object9|Object1|Object2|Object3|Scene5|Scene1|Object5|Animal4|Animal1|Scenes8|Object8|Person7|Animal6|Person1|Animal2|Person2|Object6|Person5|Scene7|Animal5|Scene9|Object7|Person9|Animal8|Scene2|Person6|Scene3|Person8"
"24","24","Object9|Person7|Object5|Scene4|Object8|Object2|Scene6|Person6|Animal7|Object4|Scene3|Animal3|Scenes8|Scene9|Scene2|Scene7|Person1|Object7|Object6|Animal9|Scene5|Person4|Person2|Object1|Object3|Animal8|Person5|Person8|Animal2|Person9|Animal4|Person3|Animal1|Animal5|Animal6|Scene1"
"25","25","Person9|Animal4|Animal1|Person8|Animal5|Object7|Person6|Animal9|Scene2|Object9|Object8|Object6|Animal2|Scene4|Scene1|Object1|Scene5|Object2|Animal7|Object5|Scene3|Animal3|Object4|Person1|Animal8|Scene7|Scenes8|Person3|Person2|Person7|Scene6|Person5|Person4|Object3|Animal6|Scene9"
"26","26","Scene7|Person7|Person1|Scene1|Person6|Object9|Animal8|Object4|Animal2|Object6|Object7|Object3|Person3|Scene3|Person4|Object1|Person5|Animal9|Animal1|Person8|Animal3|Object2|Object5|Person9|Animal7|Scenes8|Scene9|Scene2|Object8|Scene6|Scene5|Scene4|Animal6|Animal5|Animal4|Person2"
"27","27","Object4|Scenes8|Scene6|Scene3|Object7|Person4|Animal6|Animal1|Animal8|Object1|Person7|Person1|Person9|Person3|Animal9|Object3|Scene1|Animal4|Person8|Object2|Scene2|Animal5|Person5|Object8|Scene5|Person2|Object9|Scene4|Animal7|Scene7|Animal3|Object6|Object5|Scene9|Person6|Animal2"
"28","28","Animal1|Object5|Animal5|Object8|Object1|Scene5|Object2|Object4|Object9|Animal7|Scene6|Object6|Animal4|Animal9|Animal2|Person9|Person7|Object7|Person6|Animal8|Scene7|Object3|Scenes8|Person4|Person2|Person1|Animal3|Scene4|Scene9|Scene2|Scene1|Animal6|Person5|Person8|Person3|Scene3"
"29","29","Animal9|Animal5|Scenes8|Person8|Animal6|Scene9|Object2|Object1|Scene6|Object4|Animal4|Object8|Scene1|Object3|Person2|Object9|Animal1|Person1|Scene3|Scene4|Person7|Animal2|Animal3|Animal8|Scene7|Person6|Object5|Person3|Person4|Person5|Scene2|Object7|Object6|Scene5|Animal7|Person9"
"30","30","Scene6|Object6|Object9|Person7|Person8|Object3|Animal3|Object8|Person9|Object2|Scene9|Scene5|Scene1|Scene4|Object1|Object4|Object5|Scene3|Person1|Person3|Animal8|Animal4|Animal1|Scene2|Animal9|Person4|Animal5|Animal7|Person6|Scenes8|Animal6|Animal2|Person5|Person2|Object7|Scene7"
"31","31","Scene5|Animal3|Animal1|Animal8|Person3|Person5|Animal2|Object3|Animal6|Person9|Person4|Scene3|Animal5|Scene1|Object2|Scene2|Scene4|Object4|Person8|Object7|Person2|Person1|Scenes8|Object6|Object5|Animal4|Animal7|Object9|Scene9|Person7|Person6|Object1|Scene7|Animal9|Object8|Scene6"
"32","32","Object3|Scene4|Object5|Scene7|Person6|Scene5|Person9|Scene2|Scene1|Person3|Animal5|Animal2|Scene9|Object8|Person8|Person5|Object2|Person1|Scenes8|Object7|Animal3|Scene6|Person4|Person7|Object6|Animal7|Scene3|Animal6|Object9|Object4|Person2|Object1|Animal1|Animal8|Animal4|Animal9"
"33","33","Object5|Object6|Scene9|Animal5|Object2|Scene6|Animal7|Animal9|Scene7|Person9|Person2|Scene3|Person3|Animal8|Person7|Object8|Person5|Object3|Animal1|Object4|Scene1|Animal4|Person6|Object9|Animal3|Scene2|Animal6|Person1|Scene4|Scene5|Object1|Person4|Scenes8|Animal2|Person8|Object7"
"34","34","Person9|Animal9|Object3|Person7|Scene4|Animal4|Object7|Person8|Object6|Person5|Object2|Animal8|Scenes8|Object4|Person4|Scene9|Animal2|Object8|Scene7|Scene2|Object9|Person3|Animal3|Person1|Scene3|Person2|Scene6|Object1|Object5|Animal1|Animal7|Scene5|Scene1|Animal6|Animal5|Person6"
"35","35","Object4|Person2|Scene3|Scene4|Scene9|Person8|Person1|Object6|Animal2|Scene5|Scene2|Animal8|Object8|Object1|Object7|Object9|Animal5|Person7|Scenes8|Person3|Animal9|Animal7|Object2|Object3|Person6|Animal1|Animal4|Animal6|Object5|Scene1|Scene6|Person5|Person4|Person9|Scene7|Animal3"
"36","36","Scene3|Scene9|Scene4|Animal9|Animal5|Scene7|Object2|Object1|Animal3|Person1|Scene6|Person8|Person5|Person9|Person2|Animal6|Object4|Animal2|Object6|Scenes8|Person3|Scene2|Object9|Person6|Object7|Animal1|Object3|Person7|Object8|Animal8|Scene1|Animal4|Animal7|Object5|Person4|Scene5"
"37","37","Scene4|Object6|Object9|Person1|Animal1|Object8|Person2|Scene5|Scene9|Object7|Animal7|Person3|Scene3|Animal8|Person8|Animal5|Object3|Object2|Person6|Person5|Object1|Person7|Object5|Person9|Animal9|Person4|Animal3|Animal4|Scene7|Scenes8|Animal2|Scene1|Animal6|Scene2|Scene6|Object4"
"38","38","Animal2|Animal3|Person1|Animal5|Person6|Animal9|Animal7|Animal4|Person8|Scene2|Animal6|Object6|Scene6|Scene5|Object5|Object9|Object3|Object1|Scene1|Object2|Person7|Person2|Scenes8|Scene7|Animal1|Animal8|Object4|Scene9|Person3|Person9|Scene3|Person5|Scene4|Person4|Object8|Object7"
"39","39","Animal4|Scenes8|Scene3|Animal7|Object1|Object9|Scene6|Object7|Person9|Animal2|Person6|Scene4|Animal9|Animal3|Object2|Person7|Person1|Scene7|Object8|Object5|Object4|Object6|Person8|Person3|Scene9|Animal6|Person5|Animal1|Object3|Scene1|Person4|Animal8|Scene2|Animal5|Person2|Scene5"
"40","40","Animal7|Scene7|Object5|Animal9|Animal1|Person5|Animal2|Scene3|Object7|Object6|Person9|Object1|Object2|Scene2|Person8|Object8|Scene9|Scene1|Animal8|Person6|Object4|Scene4|Person4|Object9|Scene6|Animal4|Person2|Object3|Person7|Person3|Animal5|Person1|Animal6|Animal3|Scenes8|Scene5"
